full_name,cluster_id,br1,br2,br_inf,weighted_blast_score,in_degree,rank_score,language,stars
huggingface/transformers,1,14,16,15,35.5,21,0.984497736664604,Python,157403
langchain-ai/langchain,3,5,5,5,11.0,7,0.9649243097003366,Python,128279
kubernetes/kubernetes,5,3,3,3,7.0,3,0.9000000000000001,Go,120933
ray-project/ray,10,2,4,4,5.0,5,0.7196204545240685,Python,41592
scikit-learn/scikit-learn,10,3,4,4,9.5,4,0.7,Python,65292
ollama/ollama,0,4,4,4,12.0,4,0.7,Go,164123
deepspeedai/DeepSpeed,1,5,16,15,15.0,5,0.6314795831463724,Python,41736
run-llama/llama_index,10,1,1,1,2.0,2,0.6176667891931631,Python,47373
gradio-app/gradio,1,4,5,5,11.5,6,0.5028700401248328,Python,41919
keras-team/keras,10,2,2,2,5.0,2,0.49365465907002387,Python,63911
streamlit/streamlit,0,3,4,4,6.5,7,0.4799522309487397,Python,43740
kubernetes/minikube,5,1,4,4,2.5,1,0.4782714395574409,Go,31552
BerriAI/litellm,0,3,4,4,8.5,4,0.46913839010985664,Python,37824
microsoft/graphrag,0,1,1,1,1.0,1,0.4570943743411954,Python,31235
ultralytics/ultralytics,10,1,1,1,3.0,1,0.4478407117034522,Python,53933
firecrawl/firecrawl,3,2,2,2,4.0,2,0.34236921996654346,TypeScript,88305
huggingface/diffusers,1,5,11,15,15.3333,5,0.3361569326794472,Python,32922
langflow-ai/langflow,3,0,0,0,0.0,0,0.3,Python,145263
AUTOMATIC1111/stable-diffusion-webui,1,0,0,0,0.0,0,0.3,Python,161496
FoundationAgents/MetaGPT,10,0,0,0,0.0,0,0.2976337070391472,Python,64777
vllm-project/vllm,1,5,5,8,10.8333,6,0.28254111902981704,Python,72051
CorentinJ/Real-Time-Voice-Cloning,10,0,0,0,0.0,0,0.2733688660172762,Python,59496
ultralytics/yolov5,10,0,0,0,0.0,0,0.26157875390553204,Python,56930
open-webui/open-webui,3,0,0,0,0.0,0,0.2597695214886103,Python,125783
deepfakes/faceswap,10,0,0,0,0.0,0,0.25275684616798383,Python,55010
explosion/spaCy,1,3,7,7,9.0,5,0.2368201069995542,Python,33279
OpenHands/OpenHands,5,0,0,0,0.0,0,0.1701098955620054,Python,68573
coqui-ai/TTS,1,1,1,1,2.0,1,0.15938233095516618,Python,44716
naptha/tesseract.js,3,1,1,1,2.0,1,0.15826356332996017,JavaScript,37896
browser-use/browser-use,0,0,0,0,0.0,0,0.14556277913516083,Python,79634
infiniflow/ragflow,0,0,0,0,0.0,0,0.13560439426527665,Python,74186
hiyouga/LlamaFactory,1,0,0,0,0.0,0,0.12613315500074304,Python,67900
unslothai/unsloth,1,1,1,1,2.0,1,0.12401174022886016,Python,53300
Mintplex-Labs/anything-llm,3,0,0,0,0.0,0,0.11474979864108548,JavaScript,55563
apache/airflow,5,0,0,0,0.0,0,0.11035697452308302,Python,44486
milvus-io/milvus,5,0,0,0,0.0,0,0.10701049341370841,Go,43137
mem0ai/mem0,0,0,0,0,0.0,0,0.08912827574441119,Python,48760
sansan0/TrendRadar,0,0,0,0,0.0,0,0.08773176215399425,Python,47996
Lightning-AI/pytorch-lightning,1,1,1,1,3.0,1,0.08632342474276052,Python,30900
QuivrHQ/quivr,3,0,0,0,0.0,0,0.08048160921914045,Python,38970
mudler/LocalAI,1,0,0,0,0.0,0,0.08034440481497994,Go,43251
chatchat-space/Langchain-Chatchat,3,0,0,0,0.0,0,0.07723714917081431,Python,37399
hpcaitech/ColossalAI,1,0,0,0,0.0,0,0.0768390548372715,Python,41364
2noise/ChatTTS,1,0,0,0,0.0,0,0.072193119334225,Python,38863
microsoft/qlib,0,0,0,0,0.0,0,0.06977815418923612,Python,38174
LAION-AI/Open-Assistant,1,0,0,0,0.0,0,0.06955899836528459,Python,37445
khoj-ai/khoj,1,0,0,0,0.0,0,0.06143000445831475,Python,33069
ItzCrazyKns/Perplexica,0,0,0,0,0.0,0,0.05665933476721727,TypeScript,30997
tatsu-lab/stanford_alpaca,1,0,0,0,0.0,0,0.056236067766384304,Python,30273
